timestamp,crack_width_mm,seismic_energy_j,angle_x_deg,settlement_mm,label
2026-01-01 00:00:00,1.824,2.88,0.1325,1.182,0
2026-01-01 00:01:00,2.262,25.93,0.095,1.866,0
2026-01-01 00:02:00,1.383,28.16,0.1923,0.743,0
2026-01-01 00:03:00,1.383,13.01,0.0465,1.371,0
2026-01-01 00:04:00,2.29,19.61,0.0237,1.023,0
2026-01-01 00:05:00,1.884,17.49,0.0654,1.107,0
2026-01-01 00:06:00,1.265,39.63,0.0977,1.611,0
2026-01-01 00:07:00,1.771,23.96,0.1122,1.203,0
2026-01-01 00:08:00,1.268,13.98,0.0879,1.215,0
2026-01-01 00:09:00,1.267,7.36,0.1176,1.429,0
2026-01-01 00:10:00,1.621,2.15,0.0374,0.854,0
2026-01-01 00:11:00,0.543,16.63,0.1722,0.664,0
2026-01-01 00:12:00,0.638,8.95,0.0959,0.582,0
2026-01-01 00:13:00,1.219,3.62,0.1559,0.213,0
2026-01-01 00:14:00,0.994,9.83,0.1171,1.822,0
2026-01-01 00:15:00,1.657,6.35,0.1228,0.559,0
2026-01-01 00:16:00,1.046,28.5,0.1285,0.911,0
2026-01-01 00:17:00,0.794,22.05,0.1224,0.889,0
2026-01-01 00:18:00,2.233,14.94,0.1321,1.123,0
2026-01-01 00:19:00,1.387,26.84,0.1665,1.326,0
2026-01-01 00:20:00,1.534,15.62,0.1098,1.344,0
2026-01-01 00:21:00,0.788,8.11,0.1355,0.767,0
2026-01-01 00:22:00,1.228,27.18,0.0955,0.933,0
2026-01-01 00:23:00,1.555,19.31,0.172,1.113,0
2026-01-01 00:24:00,0.925,6.7,0.0662,0.901,0
2026-01-01 00:25:00,1.688,13.48,0.19,1.643,0
2026-01-01 00:26:00,1.2,8.0,0.098,1.196,0
2026-01-01 00:27:00,1.354,3.94,0.0285,1.294,0
2026-01-01 00:28:00,1.199,22.41,0.1064,1.265,0
2026-01-01 00:29:00,2.426,30.28,0.0659,1.469,0
2026-01-01 00:30:00,1.493,3.81,0.142,1.072,0
2026-01-01 00:31:00,0.971,19.5,0.0674,0.481,0
2026-01-01 00:32:00,1.911,9.79,0.0777,1.16,0
2026-01-01 00:33:00,0.89,11.1,0.01,0.739,0
2026-01-01 00:34:00,1.604,10.26,0.0774,0.789,0
2026-01-01 00:35:00,0.52,8.09,0.01,1.235,0
2026-01-01 00:36:00,0.836,15.39,0.0208,1.495,0
2026-01-01 00:37:00,1.598,8.35,0.138,1.009,0
2026-01-01 00:38:00,1.869,17.16,0.1393,1.124,0
2026-01-01 00:39:00,1.586,14.6,0.1213,1.681,0
2026-01-01 00:40:00,1.442,13.09,0.0517,1.096,0
2026-01-01 00:41:00,1.349,7.74,0.0976,2.041,0
2026-01-01 00:42:00,0.761,10.39,0.0998,1.226,0
2026-01-01 00:43:00,1.14,21.04,0.0421,0.296,0
2026-01-01 00:44:00,1.27,19.01,0.1752,1.301,0
2026-01-01 00:45:00,2.029,7.18,0.1439,1.152,0
2026-01-01 00:46:00,1.672,15.79,0.089,1.516,0
2026-01-01 00:47:00,0.618,21.01,0.1013,1.269,0
2026-01-01 00:48:00,1.662,1.64,0.1104,0.945,0
2026-01-01 00:49:00,1.307,19.35,0.01,0.51,0
2026-01-01 00:50:00,1.162,9.7,0.0876,0.916,0
2026-01-01 00:51:00,1.806,19.56,0.0659,0.66,0
2026-01-01 00:52:00,2.015,8.89,0.0499,0.768,0
2026-01-01 00:53:00,1.966,1.0,0.0859,1.235,0
2026-01-01 00:54:00,1.08,1.98,0.1899,1.668,0
2026-01-01 00:55:00,1.345,15.38,0.132,1.158,0
2026-01-01 00:56:00,1.666,17.08,0.0714,0.522,0
2026-01-01 00:57:00,1.988,7.77,0.1286,1.178,0
2026-01-01 00:58:00,1.26,20.11,0.17,1.479,0
2026-01-01 00:59:00,1.407,1.71,0.1462,0.756,0
2026-01-01 01:00:00,0.947,14.47,0.103,0.946,0
2026-01-01 01:01:00,0.902,5.31,0.0677,1.006,0
2026-01-01 01:02:00,1.906,9.79,0.1349,0.686,0
2026-01-01 01:03:00,2.178,15.38,0.1197,1.259,0
2026-01-01 01:04:00,1.464,8.12,0.1448,0.952,0
2026-01-01 01:05:00,2.002,11.92,0.1318,1.168,0
2026-01-01 01:06:00,1.681,23.05,0.1525,0.645,0
2026-01-01 01:07:00,1.177,10.38,0.0732,0.825,0
2026-01-01 01:08:00,1.681,21.69,0.1659,1.289,0
2026-01-01 01:09:00,2.269,5.96,0.1099,0.851,0
2026-01-01 01:10:00,1.482,19.24,0.2038,1.691,0
2026-01-01 01:11:00,2.282,26.53,0.0655,0.84,0
2026-01-01 01:12:00,0.19,1.0,0.1868,1.09,0
2026-01-01 01:13:00,1.911,8.62,0.1099,1.373,0
2026-01-01 01:14:00,1.544,19.62,0.0674,0.433,0
2026-01-01 01:15:00,1.35,13.38,0.0758,0.296,0
2026-01-01 01:16:00,1.546,17.97,0.084,0.39,0
2026-01-01 01:17:00,0.506,10.17,0.1212,1.505,0
2026-01-01 01:18:00,1.39,15.69,0.1261,0.779,0
2026-01-01 01:19:00,1.679,13.75,0.0713,2.023,0
2026-01-01 01:20:00,2.239,24.34,0.0988,0.774,0
2026-01-01 01:21:00,1.241,17.04,0.2071,1.074,0
2026-01-01 01:22:00,1.096,17.7,0.1864,1.617,0
2026-01-01 01:23:00,1.249,11.7,0.1218,1.802,0
2026-01-01 01:24:00,1.958,11.1,0.1019,1.825,0
2026-01-01 01:25:00,1.664,11.54,0.106,1.483,0
2026-01-01 01:26:00,1.235,18.16,0.1307,1.41,0
2026-01-01 01:27:00,1.757,11.63,0.0489,1.237,0
2026-01-01 01:28:00,1.549,17.32,0.0871,1.311,0
2026-01-01 01:29:00,1.984,31.6,0.0166,0.78,0
2026-01-01 01:30:00,1.149,21.97,0.12,0.673,0
2026-01-01 01:31:00,1.336,12.39,0.1324,0.999,0
2026-01-01 01:32:00,1.304,24.61,0.0758,0.932,0
2026-01-01 01:33:00,0.768,11.74,0.1787,0.819,0
2026-01-01 01:34:00,1.648,1.0,0.0387,1.279,0
2026-01-01 01:35:00,1.631,6.94,0.0268,1.382,0
2026-01-01 01:36:00,1.503,1.0,0.1112,1.035,0
2026-01-01 01:37:00,1.383,12.19,0.1524,1.591,0
2026-01-01 01:38:00,0.792,15.15,0.1842,0.543,0
2026-01-01 01:39:00,1.29,28.41,0.0771,0.923,0
2026-01-01 01:40:00,1.329,17.62,0.1539,0.713,0
2026-01-01 01:41:00,1.099,13.25,0.0981,0.253,0
2026-01-01 01:42:00,1.419,21.64,0.0914,0.967,0
2026-01-01 01:43:00,1.702,1.0,0.1442,0.951,0
2026-01-01 01:44:00,2.443,16.88,0.1326,1.605,0
2026-01-01 01:45:00,1.587,21.17,0.0212,1.252,0
2026-01-01 01:46:00,1.629,3.17,0.1738,0.59,0
2026-01-01 01:47:00,1.463,24.15,0.169,1.742,0
2026-01-01 01:48:00,0.541,17.71,0.0687,1.488,0
2026-01-01 01:49:00,1.487,11.68,0.1198,1.233,0
2026-01-01 01:50:00,1.53,20.06,0.1247,0.909,0
2026-01-01 01:51:00,2.732,33.17,0.113,0.616,0
2026-01-01 01:52:00,1.404,16.45,0.0725,0.851,0
2026-01-01 01:53:00,1.651,16.99,0.0664,1.435,0
2026-01-01 01:54:00,1.483,11.33,0.0987,1.754,0
2026-01-01 01:55:00,0.916,8.2,0.1586,1.617,0
2026-01-01 01:56:00,2.071,21.64,0.1272,0.804,0
2026-01-01 01:57:00,1.876,8.15,0.0815,0.552,0
2026-01-01 01:58:00,1.896,15.57,0.1386,1.056,0
2026-01-01 01:59:00,1.045,11.18,0.01,0.293,0
2026-01-01 02:00:00,2.201,18.83,0.1574,1.129,0
2026-01-01 02:01:00,0.799,17.67,0.013,0.941,0
2026-01-01 02:02:00,1.793,23.3,0.0819,0.814,0
2026-01-01 02:03:00,2.595,10.92,0.044,0.362,0
2026-01-01 02:04:00,1.005,12.84,0.0353,1.205,0
2026-01-01 02:05:00,1.217,7.17,0.158,0.787,0
2026-01-01 02:06:00,1.55,11.45,0.0766,0.532,0
2026-01-01 02:07:00,1.248,18.02,0.1173,0.1,0
2026-01-01 02:08:00,0.725,21.06,0.0977,0.989,0
2026-01-01 02:09:00,1.534,7.62,0.1239,1.709,0
2026-01-01 02:10:00,0.969,21.96,0.1038,1.665,0
2026-01-01 02:11:00,1.737,25.85,0.0359,0.817,0
2026-01-01 02:12:00,1.04,18.31,0.1498,0.759,0
2026-01-01 02:13:00,2.275,30.01,0.0753,1.188,0
2026-01-01 02:14:00,1.108,8.81,0.0222,0.601,0
2026-01-01 02:15:00,1.339,5.04,0.0786,1.121,0
2026-01-01 02:16:00,1.907,1.0,0.175,1.306,0
2026-01-01 02:17:00,0.885,26.97,0.1425,1.491,0
